timestamp,iso8601,app,plane,cluster,cpu_cores,memory_bytes
1756183740,"2025-08-26T04:49:00Z","l2sm","control","l2sm-control",0.024730159654899702,843415552
1756183740,"2025-08-26T04:49:00Z","submariner","control","sub-control",0.0022061083830622924,60257280
1756184172,"2025-08-26T04:56:12Z","l2sm","control","l2sm-control",0.024111999468734276,843741798.4
1756184172,"2025-08-26T04:56:12Z","l2sm","managed","l2sm-managed-1",0.055352596009544015,949479424
1756184172,"2025-08-26T04:56:12Z","l2sm","managed","l2sm-managed-2",0.05316489835959279,896788480
1756184172,"2025-08-26T04:56:12Z","submariner","control","sub-control",0.0025521384794508282,60301312
1756184172,"2025-08-26T04:56:12Z","submariner","managed","sub-managed-1",0.06132422507123776,379129856
1756184172,"2025-08-26T04:56:12Z","submariner","managed","sub-managed-2",0.048938345521304216,379574886.4
1756184604,"2025-08-26T05:03:24Z","l2sm","control","l2sm-control",0.02311216901418078,843720704
1756184604,"2025-08-26T05:03:24Z","submariner","control","sub-control",0.00237189257847983,60301312
1756185036,"2025-08-26T05:10:36Z","l2sm","control","l2sm-control",0.022211993735720345,843844608
1756185036,"2025-08-26T05:10:36Z","l2sm","managed","l2sm-managed-1",0.05428380772394872,949400576
1756185036,"2025-08-26T05:10:36Z","l2sm","managed","l2sm-managed-2",0.054552808017466876,898396160
1756185036,"2025-08-26T05:10:36Z","submariner","control","sub-control",0.0024358471922156246,60343910.4
1756185036,"2025-08-26T05:10:36Z","submariner","managed","sub-managed-1",0.05909990654913823,379844608
1756185036,"2025-08-26T05:10:36Z","submariner","managed","sub-managed-2",0.049058177750918606,379552768
1756185468,"2025-08-26T05:17:48Z","l2sm","control","l2sm-control",0.02248207655631849,843889664
1756185468,"2025-08-26T05:17:48Z","submariner","control","sub-control",0.0022218393376591235,60506112
1756185900,"2025-08-26T05:25:00Z","l2sm","control","l2sm-control",0.021964399999956096,843927552
1756185900,"2025-08-26T05:25:00Z","l2sm","managed","l2sm-managed-1",0.05274201212714853,949064704
1756185900,"2025-08-26T05:25:00Z","l2sm","managed","l2sm-managed-2",0.0530189822219581,898639872
1756185900,"2025-08-26T05:25:00Z","submariner","control","sub-control",0.002449111719993009,60409856
1756185900,"2025-08-26T05:25:00Z","submariner","managed","sub-managed-1",0.062317921285525005,379106304
1756185900,"2025-08-26T05:25:00Z","submariner","managed","sub-managed-2",0.04963716427141301,380486656
1756186332,"2025-08-26T05:32:12Z","l2sm","control","l2sm-control",0.02276103797951696,843976908.8
1756186332,"2025-08-26T05:32:12Z","submariner","control","sub-control",0.0028923063187725317,60411904
1756186764,"2025-08-26T05:39:24Z","l2sm","control","l2sm-control",0.022750917661223297,848388096
1756186764,"2025-08-26T05:39:24Z","l2sm","managed","l2sm-managed-1",0.05603756880054283,949388288
1756186764,"2025-08-26T05:39:24Z","l2sm","managed","l2sm-managed-2",0.05553324081477263,898483200
1756186764,"2025-08-26T05:39:24Z","submariner","control","sub-control",0.002606885617214024,60476416
1756186764,"2025-08-26T05:39:24Z","submariner","managed","sub-managed-1",0.06244982495291723,379588949.3333334
1756186764,"2025-08-26T05:39:24Z","submariner","managed","sub-managed-2",0.04744351973531705,379721728
1756187196,"2025-08-26T05:46:36Z","l2sm","control","l2sm-control",0.02343626713415297,848649216
1756187196,"2025-08-26T05:46:36Z","submariner","control","sub-control",0.002721816421719876,60478464
1756187628,"2025-08-26T05:53:48Z","l2sm","control","l2sm-control",0.02270958287322356,848595968
1756187628,"2025-08-26T05:53:48Z","l2sm","managed","l2sm-managed-1",0.05471754098078334,949962752
1756187628,"2025-08-26T05:53:48Z","l2sm","managed","l2sm-managed-2",0.054132157546230145,898539520
1756187628,"2025-08-26T05:53:48Z","submariner","control","sub-control",0.0023546144679347865,60477440
1756187628,"2025-08-26T05:53:48Z","submariner","managed","sub-managed-1",0.06002006446543941,379047936
1756187628,"2025-08-26T05:53:48Z","submariner","managed","sub-managed-2",0.04904122089048179,379737088
1756188060,"2025-08-26T06:01:00Z","l2sm","control","l2sm-control",0.022639367458571702,848433152
1756188060,"2025-08-26T06:01:00Z","submariner","control","sub-control",0.0021659940933782666,60346368
1756188492,"2025-08-26T06:08:12Z","l2sm","control","l2sm-control",0.02321763788647439,848911360
